match_no,play_stage,play_date,results,decided_by,score_1,score_2,venue_id,referee_id,audence,plr_of_match,stop1_sec,stop2_sec
6,G,42533,WIN,N,1,0,20006,70014,33742,160291,2,246
8,G,42534,WIN,N,1,0,20010,70009,29400,160429,360,182
19,G,42538,WIN,N,1,0,20010,70007,29600,160248,2,264
38,R,42546,WIN,N,1,0,20007,70002,44342,160547,5,245
51,F,42562,WIN,N,1,0,20008,70005,75868,160307,161,181
7,G,42534,WIN,N,2,0,20003,70002,43035,160176,89,188
15,G,42537,WIN,N,2,0,20005,70013,63670,160154,71,374
43,R,42548,WIN,N,2,0,20008,70004,76165,160235,63,243
49,S,42558,WIN,N,2,0,20004,70006,55679,160322,2,181
50,S,42559,WIN,N,2,0,20005,70011,64078,160160,126,275
21,G,42539,WIN,N,3,0,20006,70010,33409,160429,84,120
22,G,42539,WIN,N,3,0,20001,70004,39493,160064,11,180
41,R,42547,WIN,N,3,0,20003,70009,44312,160173,62,124
4,G,42533,DRAW,N,1,1,20005,70011,62343,160128,0,185
9,G,42534,DRAW,N,1,1,20008,70010,73419,160335,67,194
12,G,42536,DRAW,N,1,1,20009,70004,38742,160320,15,284
14,G,42536,DRAW,N,1,1,20007,70015,43576,160477,74,206
23,G,42539,DRAW,N,1,1,20005,70015,60842,160230,61,280
37,R,42546,WIN,P,1,1,20009,70005,38842,160476,126,243
45,Q,42552,WIN,P,1,1,20005,70003,62940,160316,58,181
47,Q,42554,WIN,P,1,1,20001,70007,38764,160163,63,181
1,G,42532,WIN,N,2,1,20008,70007,75113,160154,131,242
3,G,42532,WIN,N,2,1,20001,70017,37831,160540,64,268
16,G,42537,WIN,N,2,1,20002,70003,34033,160540,62,212
32,G,42543,WIN,N,2,1,20001,70008,37245,160085,70,282
33,G,42543,WIN,N,2,1,20008,70009,68714,160220,7,244
40,R,42547,WIN,N,2,1,20004,70011,56279,160160,238,203
46,Q,42553,WIN,N,3,1,20003,70001,45936,160550,14,182
13,G,42536,WIN,N,1,2,20003,70001,38989,160405,62,189
44,R,42549,WIN,N,1,2,20006,70001,33901,160217,5,199
20,G,42538,DRAW,N,1,2,20009,70005,38376,160086,71,280
48,Q,42555,WIN,N,5,2,20008,70008,76833,160159,16,125
34,G,42543,DRAW,N,3,3,20004,70002,55514,160322,70,185
18,G,42538,DRAW,N,0,0,20008,70008,73648,160165,6,208
24,G,42540,DRAW,N,0,0,20007,70011,44291,160314,3,200
26,G,42541,DRAW,N,0,0,20003,70001,45616,160463,60,122
28,G,42542,DRAW,N,0,0,20009,70012,39051,160392,62,301
2,G,42532,WIN,N,0,1,20002,70012,33805,160476,61,182
5,G,42533,WIN,N,0,1,20007,70006,43842,160084,125,325
25,G,42541,WIN,N,0,1,20004,70016,49752,160005,125,328
29,G,42542,WIN,N,0,1,20005,70017,58874,160520,29,244
30,G,42542,WIN,N,0,1,20007,70018,44125,160177,21,195
35,G,42544,WIN,N,0,1,20003,70014,44268,160333,79,221
36,G,42544,WIN,N,0,1,20006,70003,34011,160062,63,195
39,R,42547,WIN,N,0,1,20002,70012,33523,160316,61,198
10,G,42535,WIN,N,0,2,20004,70005,55408,160244,63,189
11,G,42535,WIN,N,0,2,20001,70018,34424,160197,61,305
17,G,42537,WIN,N,0,2,20004,70016,51043,160262,7,411
31,G,42543,WIN,N,0,2,20002,70013,32836,160504,60,300
27,G,42542,WIN,N,0,3,20010,70006,28840,160544,62,119
42,R,42548,WIN,N,0,4,20010,70010,28921,160062,3,133
